party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Partito Autonomista Trentino Tirolese,Veneto,2018,2017,222,0
Partito della Rifondazione Comunista,Veneto,2018,2017,3817,0
Partito Democratico,Veneto,2018,2017,41768,0
Partito Socialista Italiano,Veneto,2018,2017,734,0
Popolari per l'Italia,Veneto,2018,2017,134,0
Possibile,Veneto,2018,2017,1152,0
Scelta Civica,Veneto,2018,2017,1048,0
Sinistra Italiana,Veneto,2018,2017,1938,0
Stella Alpina,Veneto,2018,2017,263,0
Sudtiroler Volkspartei,Veneto,2018,2017,435,0
Union Valdotaine,Veneto,2018,2017,114,0
Unione di Centro,Veneto,2018,2017,237,0
Unione per il Trentino,Veneto,2018,2017,325,0
Alternativa Popolare,Friuli Venezia Giulia,2018,2017,61,0
Articolo 1 Movimento Democratico e Progressista,Friuli Venezia Giulia,2018,2017,499,0
Centro Democratico,Friuli Venezia Giulia,2018,2017,276,0
Democrazia Solidale - Demo. S,Friuli Venezia Giulia,2018,2017,25,0
Energie per l'Italia,Friuli Venezia Giulia,2018,2017,218,0
Federazione dei Verdi,Friuli Venezia Giulia,2018,2017,739,0
Fratelli d'Italia,Friuli Venezia Giulia,2018,2017,2131,0
Idea Identita' e Azione,Friuli Venezia Giulia,2018,2017,34,0
Italia dei Valori,Friuli Venezia Giulia,2018,2017,123,0
Lega Nord per l'Indipendenza della Padania,Friuli Venezia Giulia,2018,2017,2849,0
Lega per Salvini Premier,Friuli Venezia Giulia,2018,2017,7517,0
Movimento Associativo Italiani all'Estero,Friuli Venezia Giulia,2018,2017,153,0
Movimento La Puglia in Piu',Friuli Venezia Giulia,2018,2017,107,0
Movimento politico Forza Italia,Friuli Venezia Giulia,2018,2017,990,0
Partito Autonomista Trentino Tirolese,Friuli Venezia Giulia,2018,2017,79,0
Partito della Rifondazione Comunista,Friuli Venezia Giulia,2018,2017,1389,0
Partito Democratico,Friuli Venezia Giulia,2018,2017,10049,0
Partito Socialista Italiano,Friuli Venezia Giulia,2018,2017,232,0
Popolari per l'Italia,Friuli Venezia Giulia,2018,2017,39,0
Possibile,Friuli Venezia Giulia,2018,2017,308,0
Scelta Civica,Friuli Venezia Giulia,2018,2017,280,0
Sinistra Italiana,Friuli Venezia Giulia,2018,2017,559,0
Stella Alpina,Friuli Venezia Giulia,2018,2017,94,0
Sudtiroler Volkspartei,Friuli Venezia Giulia,2018,2017,325,0
Union Valdotaine,Friuli Venezia Giulia,2018,2017,55,0
Unione di Centro,Friuli Venezia Giulia,2018,2017,57,0
Unione per il Trentino,Friuli Venezia Giulia,2018,2017,84,0
Alternativa Popolare,Emilia Romagna,2018,2017,164,0
Articolo 1 Movimento Democratico e Progressista,Emilia Romagna,2018,2017,3196,0
Centro Democratico,Emilia Romagna,2018,2017,857,0
Democrazia Solidale - Demo. S,Emilia Romagna,2018,2017,83,0
Energie per l'Italia,Emilia Romagna,2018,2017,515,0
Federazione dei Verdi,Emilia Romagna,2018,2017,2188,0
Fratelli d'Italia,Emilia Romagna,2018,2017,2963,0
Idea Identita' e Azione,Emilia Romagna,2018,2017,193,0
Italia dei Valori,Emilia Romagna,2018,2017,284,0
Lega Nord per l'Indipendenza della Padania,Emilia Romagna,2018,2017,6037,0
Lega per Salvini Premier,Emilia Romagna,2018,2017,16342,0
Movimento Associativo Italiani all'Estero,Emilia Romagna,2018,2017,348,0
Movimento La Puglia in Piu',Emilia Romagna,2018,2017,400,0
Movimento politico Forza Italia,Emilia Romagna,2018,2017,2372,0
Partito Autonomista Trentino Tirolese,Emilia Romagna,2018,2017,154,0
Partito della Rifondazione Comunista,Emilia Romagna,2018,2017,4670,0
Partito Democratico,Emilia Romagna,2018,2017,70565,0
Partito Socialista Italiano,Emilia Romagna,2018,2017,921,0
Popolari per l'Italia,Emilia Romagna,2018,2017,117,0
Possibile,Emilia Romagna,2018,2017,1513,0
Scelta Civica,Emilia Romagna,2018,2017,893,0
Sinistra Italiana,Emilia Romagna,2018,2017,2059,0
Stella Alpina,Emilia Romagna,2018,2017,180,0
Sudtiroler Volkspartei,Emilia Romagna,2018,2017,352,0
Union Valdotaine,Emilia Romagna,2018,2017,114,0
Unione di Centro,Emilia Romagna,2018,2017,99,0
Unione per il Trentino,Emilia Romagna,2018,2017,288,0
Alternativa Popolare,Toscana,2018,2017,119,0
Articolo 1 Movimento Democratico e Progressista,Toscana,2018,2017,2149,0
Centro Democratico,Toscana,2018,2017,693,0
Democrazia Solidale - Demo. S,Toscana,2018,2017,76,0
Energie per l'Italia,Toscana,2018,2017,402,0
Federazione dei Verdi,Toscana,2018,2017,1428,0
Fratelli d'Italia,Toscana,2018,2017,2759,0
Idea Identita' e Azione,Toscana,2018,2017,45,0
Italia dei Valori,Toscana,2018,2017,275,0
Lega Nord per l'Indipendenza della Padania,Toscana,2018,2017,2187,0
Lega per Salvini Premier,Toscana,2018,2017,10065,0
Movimento Associativo Italiani all'Estero,Toscana,2018,2017,207,0
Movimento La Puglia in Piu',Toscana,2018,2017,162,0
Movimento politico Forza Italia,Toscana,2018,2017,1753,0
Partito Autonomista Trentino Tirolese,Toscana,2018,2017,94,0
Partito della Rifondazione Comunista,Toscana,2018,2017,5284,0
Partito Democratico,Toscana,2018,2017,51259,0
Partito Socialista Italiano,Toscana,2018,2017,940,0
Popolari per l'Italia,Toscana,2018,2017,84,0
Possibile,Toscana,2018,2017,1044,0
Scelta Civica,Toscana,2018,2017,511,0
Sinistra Italiana,Toscana,2018,2017,2894,0
Stella Alpina,Toscana,2018,2017,129,0
Sudtiroler Volkspartei,Toscana,2018,2017,230,0
Union Valdotaine,Toscana,2018,2017,84,0
Unione di Centro,Toscana,2018,2017,134,0
Unione per il Trentino,Toscana,2018,2017,138,0
Alternativa Popolare,Umbria,2018,2017,32,0
Articolo 1 Movimento Democratico e Progressista,Umbria,2018,2017,456,0
Centro Democratico,Umbria,2018,2017,98,0
Democrazia Solidale - Demo. S,Umbria,2018,2017,10,0
Energie per l'Italia,Umbria,2018,2017,71,0
Federazione dei Verdi,Umbria,2018,2017,201,0
Fratelli d'Italia,Umbria,2018,2017,769,0
Idea Identita' e Azione,Umbria,2018,2017,13,0
Italia dei Valori,Umbria,2018,2017,52,0
Lega Nord per l'Indipendenza della Padania,Umbria,2018,2017,474,0
Lega per Salvini Premier,Umbria,2018,2017,2623,0
Movimento Associativo Italiani all'Estero,Umbria,2018,2017,46,0
Movimento La Puglia in Piu',Umbria,2018,2017,34,0
Movimento politico Forza Italia,Umbria,2018,2017,435,0
Partito Autonomista Trentino Tirolese,Umbria,2018,2017,14,0
